seed_url,url,title
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/proposing-a-new-development-project/development-application-process,"development application process | blacksburg, va"
https://www.blacksburg.gov/home,https://tobmaps.blacksburg.gov/portal/apps/webappviewer/index.html?id=5ca8847c8e4f4fe68120e9bb08e10840&extent=-8953849.9431%2C4470223.6431%2C-8949263.7214%2C4472366.2686%2C102100,arcgis web application
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/planning-and-building/comprehensive-plan,"comprehensive plan | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/new-development,"new development | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/downtown-event-planning,"downtown event planning | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/doing-business-with-the-town/downtown-fa-ade-improvement-program,"blacksburg spark: downtown façade improvement program | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/doing-business-with-the-town/make-a-payment,"make a payment | blacksburg, va"
https://www.blacksburg.gov/home,http://www.tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/vehicle-license-tax,"vehicle license tax | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/doing-business-with-the-town/food-trucks,"food trucks | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/purchasing/invitation-for-bids,"invitation for bids | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/doing-business-with-the-town,"doing business with the town | blacksburg, va"
https://www.blacksburg.gov/home,https://www.governmentjobs.com/careers/blacksburg,job opportunities | current openings
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/get-involved/voter-registration-and-elections,"voter registration and elections | blacksburg, va"
https://www.blacksburg.gov/home,https://library.municode.com/va/blacksburg/codes/code_of_ordinances,municode library
https://www.blacksburg.gov/home,http://www.tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://blacksburgfire.org/,blacksburg volunteer fire department
https://www.blacksburg.gov/home,https://www.blacksburgrescue.org/,blacksburg volunteer rescue squad
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/citizens-institute,"citizens institute | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/get-involved/council-appointed-boards-and-committees,"council appointed boards and committees | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/get-involved,"get involved | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/programs,"programs | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/facilities,"facilities | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/88/78,"huckleberry trail | facilities | blacksburg, va"
https://www.blacksburg.gov/home,https://recreation.blacksburg.gov/wbwsc/webtrac.wsc/SPLASH.html,3.1 web - splash
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-of-blacksburg-cemeteries,"cemeteries | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/vehicle-license-tax,"vehicle license tax | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/taxes,"taxes | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/public-works/events-and-collection-services/spring-and-fall-cleanup,"spring and fall cleanup | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/public-works/events-and-collection-services,"collection services | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/public-works/refuse-and-recycling,"refuse and recycling | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/utility-service,"utility service | blacksburg, va"
https://www.blacksburg.gov/home,http://tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/online-payments,"make a payment | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-attorney/freedom-of-information-act-foia,"freedom of information act (foia) | blacksburg, va"
